Plot,Date,FactorN,N_applied,FactorW,Biomass,N_Percent,Ncontent,Biomass_shoot,Npercent_shoot,N_content_shoot,Biomass_Espigas,Npercent_spikes,N_content_spikes,Yield,Grain_Npercent,Grain_Ncontent,NDSI_799_755,NDSI_800_550,NDSI_795_750,NDSI_778_752,NDSI_1650_520,WDI,NDSI_B11_B8A_convolved,GNDVI_convolved,NDSI_B8_B6_convolved,NDSI_B11_B2_convolved,NDSI_B7_B6_convolved,NDSI_B11_B3_convolved,SIF,RVI,B1_convolved,B2_convolved,B3_convolved,B4_convolved,B5_convolved,B6_convolved,B7_convolved,B8_convolved,B8A_convolved,B9_convolved,B11_convolved
10,20180515,N2,136,W2,13484.31469,1.2172508,164.1379285,10548.2327,1.07055,112.9241051,2936.081993,1.725,50.64741438,7750.492864,1.878,145.554256,0.088024094,0.781888272,0.070748345,0.068323811,0.655641496,0,-0.437782651,0.802626545,0.204280572,0.560087409,0.134091725,0.741015216,1.547800635,0.703143551,0.020972574,0.024283321,0.046031366,0.029156714,0.076870559,0.277781399,0.363814037,0.42040791,0.417470118,0.384932794,0.163243688
10,20190516,N2,149,W1,10869.49,1.223900412,133.0317329,8076.637031,1.02257,82.58926729,2792.849642,1.80755,50.4821537,4824.293937,2.2118,106.7037333,0.067511183,0.684433911,0.087103916,0.054810336,0.650038501,0.438891661,-0.234341976,0.730396925,0.136217158,0.590406006,0.090147807,0.775938453,0.029975484,1.008905621,0.022821894,0.029486944,0.060191604,0.05760221,0.113733854,0.293697358,0.351896201,0.386328555,0.376782743,0.345432674,0.233717022
11,20180515,N1,86,W2,15585.17277,1.217597592,189.7646884,12289.32757,1.0897,133.9168025,3295.845196,1.7082,56.29962765,5752.468818,1.56,89.73851356,0.08613922,0.735032488,0.069188947,0.066373351,0.6242698,0,-0.417018618,0.769389479,0.188871441,0.522309463,0.122389715,0.716431703,1.793241456,0.39622494,0.02101584,0.027703595,0.052619737,0.036122119,0.085993367,0.275453181,0.352281443,0.403731833,0.407592185,0.390139033,0.167689156
11,20190516,N1,99,W1,10649.39,1.242326641,132.3002091,7613.895566,1.03435,78.75432878,3035.493686,1.7616,53.47325677,4559.684911,1.9272,87.8742476,0.07830726,0.62054593,0.094388199,0.056159193,0.599451879,0.339581073,-0.211507616,0.671456397,0.135287008,0.530551253,0.083433619,0.711059867,0.02800863,1.40693047,0.022278949,0.040442195,0.073456861,0.073156579,0.127346654,0.284643138,0.336464386,0.373709727,0.367977025,0.343226205,0.239492577
1,20180515,N2,136,W2,13921.71348,1.007030551,140.1959079,10863.02973,0.84482,91.77304774,3058.683756,1.5848,48.47402016,7762.545798,1.896,147.1778683,0.09996719,0.786738494,0.080792643,0.080111776,0.650480131,0,-0.446452233,0.805773437,0.227761759,0.551321279,0.151137752,0.731701447,2.037428482,0.436488372,0.020997306,0.025661109,0.047903123,0.031132255,0.078440596,0.28012745,0.379879402,0.445367442,0.432791876,0.388546657,0.165626608
1,20190516,N2,149,W1,9348.4,1.290042598,120.5983422,6661.6,1.0677,71.1259032,2686.8,1.8612,50.0067216,4640.04362,2.2476,104.2896204,0.076087886,0.582215652,0.08860585,0.050793824,0.603629142,0.120075172,-0.176549708,0.644353636,0.115460883,0.534295091,0.069221244,0.710149617,0.024191833,1.059633489,0.022273095,0.041078961,0.073566754,0.078915333,0.130585639,0.269724964,0.309843407,0.340140578,0.34630006,0.339582118,0.242370453
12,20180515,N3,186,W2,12540.09503,1.46185347,183.3178143,9595.704155,1.3852,132.919694,2944.390874,1.71075,50.37116687,7332.640954,2.2164,162.5206541,0.077634859,0.704390448,0.062124495,0.056273007,0.627494683,0,-0.394885755,0.748731957,0.181015435,0.508943703,0.112190033,0.705684984,1.664012254,0.626533647,0.021050692,0.03060381,0.05771918,0.04258386,0.095725499,0.278564832,0.348967731,0.401703988,0.408849216,0.392590348,0.177362543
12,20190516,N3,199,W1,10912.28,1.649048755,179.9488175,7863.642564,1.54275,121.3163457,3048.640419,1.9224,58.60706341,4428.775852,2.767,122.5442278,0.080115949,0.709663253,0.103555991,0.065890581,0.666817838,0.51448449,-0.246841972,0.756915251,0.15255005,0.618746053,0.104954117,0.802044818,0.031341324,1.249608684,0.023032239,0.024847174,0.053273514,0.046809753,0.099188274,0.283112284,0.349508432,0.385038758,0.3744562,0.344756615,0.226191209
13,20180515,N3,186,W2,14491.45602,1.209860235,175.3263639,11241.45733,1.07709,121.0806127,3249.998691,1.6608,53.97597825,6634.560121,2.1796,144.6068724,0.086952426,0.737907545,0.069492374,0.064390162,0.632703316,0,-0.420479689,0.772730572,0.198788242,0.523370378,0.12494363,0.717333296,1.560607617,0.808619938,0.021020998,0.028164785,0.05353797,0.037229013,0.088767703,0.279105538,0.358808881,0.417603004,0.419423483,0.391081099,0.171114328
13,20190516,N3,199,W1,10273.29,1.491941834,153.2715112,7047.220676,1.379014,97.18215973,3226.066325,1.73385,55.93515098,4128.653026,2.3165,95.64024735,0.067080491,0.62009502,0.080185079,0.046628536,0.627082754,0.712232633,-0.18521082,0.66921899,0.121125996,0.551008372,0.071289829,0.72643071,0.025946926,0.721414231,0.022321596,0.040164151,0.07337439,0.082594779,0.137339675,0.290261508,0.334823727,0.370268913,0.368697978,0.343872238,0.253466403
